"k","N","prop","size","power"
2,300,0.2,0.049,0.622
4,300,0.2,0.039,0.816
6,300,0.2,0.051,0.936
8,300,0.2,0.043,0.97
2,600,0.2,0.049,0.67
4,600,0.2,0.047,0.885
6,600,0.2,0.043,0.957
8,600,0.2,0.054,0.986
2,900,0.2,0.042,0.69
4,900,0.2,0.045,0.89
6,900,0.2,0.041,0.952
8,900,0.2,0.041,0.985
2,300,0.5,0.062,0.653
4,300,0.5,0.053,0.878
6,300,0.5,0.052,0.953
8,300,0.5,0.054,0.985
2,600,0.5,0.054,0.691
4,600,0.5,0.047,0.912
6,600,0.5,0.055,0.968
8,600,0.5,0.065,0.989
2,900,0.5,0.055,0.687
4,900,0.5,0.063,0.894
6,900,0.5,0.047,0.969
8,900,0.5,0.051,0.989
3,300,0.2,0.047,0.763
5,300,0.2,0.037,0.898
7,300,0.2,0.045,0.951
3,600,0.2,0.057,0.814
5,600,0.2,0.054,0.924
7,600,0.2,0.055,0.974
3,900,0.2,0.054,0.83
5,900,0.2,0.044,0.933
7,900,0.2,0.04,0.979
3,300,0.5,0.044,0.806
5,300,0.5,0.057,0.913
7,300,0.5,0.045,0.97
3,600,0.5,0.058,0.824
5,600,0.5,0.043,0.938
7,600,0.5,0.065,0.974
3,900,0.5,0.047,0.825
5,900,0.5,0.044,0.942
7,900,0.5,0.058,0.979
